skuVariacao,custoFixo,custoMarketing,custoImposto,custoEmbalagem
ArandelaPreta-4uni-Quente,0,0,0,1.59
ArandelaPreta-4uni-Fria,0,0,0,1.59
ArandelaBranca-4uni-Quente,0,0,0,1.59
ArandelaBranca-4uni-Fria,0,0,0,1.59
